cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics
1551182,Eaton Corp plc,operating,3590.0,Misc Industrial & Commercial Machinery & Equipment,06 Technology,0,1,ETN,NYSE,981059235.0,,,,Large accelerated filer,1231.0,,,353 1637 2900,,30 PEMBROKE ROAD,EATON HOUSE,DUBLIN,L2,DUBLIN 4,Ireland,30 PEMBROKE ROAD,EATON HOUSE,DUBLIN,L2,DUBLIN 4,Ireland,"{332710, 336390, 333318, 332999, 332813, 333999}"
707549,LAM RESEARCH CORP,operating,3559.0,"Special Industry Machinery, NEC",06 Technology,0,1,LRCX,Nasdaq,942634797.0,,,,Large accelerated filer,629.0,DE,DE,5106590200,,4650 CUSHING PARKWAY,,FREMONT,CA,94538,CA,4650 CUSHING BLVD,,FREMONT,CA,94538,CA,"{333249, 333318, 332410, 333111, 333242}"
1596532,"Arista Networks, Inc.",operating,3576.0,Computer Communications Equipment,06 Technology,0,1,ANET,NYSE,201751121.0,,,,Large accelerated filer,1231.0,DE,DE,408-547-5500,,5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CA,95054,CA,5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CA,95054,CA,"{334112, 333316, 334118, 333318, 334111}"
6281,ANALOG DEVICES INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,ADI,Nasdaq,42348234.0,,,,Large accelerated filer,1102.0,MA,MA,7813294700,,ONE ANALOG WAY,,WILMINGTON,MA,01887,MA,ONE ANALOG WAY,,WILMINGTON,MA,01887,MA,{334413}
1327567,Palo Alto Networks Inc,operating,3577.0,"Computer Peripheral Equipment, NEC",06 Technology,0,1,PANW,Nasdaq,202530195.0,,,,Large accelerated filer,731.0,DE,DE,408-753-4000,,3000 TANNERY WAY,,SANTA CLARA,CA,95054,CA,3000 TANNERY WAY,,SANTA CLARA,CA,95054,CA,"{334418, 333316, 334613, 334118}"
1613103,Medtronic plc,operating,3845.0,Electromedical & Electrotherapeutic Apparatus,08 Industrial Applications and Services,1,1,MDT,NYSE,0.0,,,,Large accelerated filer,425.0,,,01135314381700,,BUILDING TWO PARKMORE BUSINESS PARK WEST,,GALWAY,L2,1,Ireland,BUILDING TWO PARKMORE BUSINESS PARK WEST,,GALWAY,L2,1,Ireland,"{334517, 334510}"
8670,AUTOMATIC DATA PROCESSING INC,operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,1,1,ADP,Nasdaq,221467904.0,,,,Large accelerated filer,630.0,DE,DE,9739745000,,ONE ADP BOULEVARD,,ROSELAND,NJ,07068,NJ,ONE ADP BOULVARD,,ROSELAND,NJ,07068,NJ,{518210}
315189,DEERE & CO,operating,3523.0,Farm Machinery & Equipment,06 Technology,1,1,DE,NYSE,362382580.0,,,,Large accelerated filer,1027.0,DE,DE,(309) 765-8000,,ONE JOHN DEERE PLACE,,MOLINE,IL,61265-8098,IL,ONE JOHN DEERE PLACE,,MOLINE,IL,61265-8098,IL,"{332216, 333922, 332323, 333111}"
1594805,SHOPIFY INC.,other,7372.0,Services-Prepackaged Software,06 Technology,1,0,SHOP,NYSE,0.0,,,,,1231.0,Z4,Canada (Federal Level),613-241-2828,,151 O'CONNOR STREET,GROUND FLOOR,OTTAWA,A6,K2P 2L8,"Ontario, Canada",151 O'CONNOR STREET,GROUND FLOOR,OTTAWA,A6,K2P 2L8,"Ontario, Canada","{511210, 334614}"
1067491,Infosys Ltd,other,7371.0,Services-Computer Programming Services,06 Technology,0,0,INFY,NYSE,581760235.0,,,,Large accelerated filer,331.0,,,0119180852,,ELECTRONIC CITY HOSUR RD,BANGALORE KARNATAKA INDIA,BANGALORE,K7,560 100,India,ELECTRONICS CITY HOSUR RD,BANGALORE KARNATAKA INDIA,BANGALORE,K7,560 100,India,{541511}
50863,INTEL CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,INTC,Nasdaq,941672743.0,,,,Large accelerated filer,1228.0,DE,DE,4087658080,,2200 MISSION COLLEGE BLVD,RNB-4-151,SANTA CLARA,CA,95054,CA,2200 MISSION COLLEGE BLVD,RNB-4-151,SANTA CLARA,CA,95054,CA,{334413}
883241,SYNOPSYS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,SNPS,Nasdaq,561546236.0,,,,Large accelerated filer,1031.0,DE,DE,6505845000,,675 ALMANOR AVE,,SUNNYVALE,CA,94085,CA,675 ALMANOR AVE,,SUNNYVALE,CA,94085,CA,"{511210, 334614}"
820313,AMPHENOL CORP /DE/,operating,3678.0,Electronic Connectors,04 Manufacturing,0,1,APH,NYSE,222785165.0,,,,Large accelerated filer,1231.0,DE,DE,2032658900,,,,,,,,358 HALL AVE,,WALLINGFORD,CT,06492,CT,"{334418, 334419, 334515, 334310, 334220}"
1571996,Dell Technologies Inc.,operating,3571.0,Electronic Computers,06 Technology,1,1,DELL,NYSE,800890963.0,,,,Large accelerated filer,131.0,DE,DE,800-289-3355,,ONE DELL WAY,,ROUND ROCK,TX,78682,TX,ONE DELL WAY,,ROUND ROCK,TX,78682,TX,{334111}
813672,CADENCE DESIGN SYSTEMS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,CDNS,Nasdaq,770148231.0,,,,Large accelerated filer,1231.0,DE,DE,4089431234,,2655 SEELY AVENUE,,SAN JOSE,CA,95134,CA,2655 SEELY AVENUE BLDG 5,,SAN JOSE,CA,95134,CA,"{511210, 334614}"
1466258,Trane Technologies plc,operating,3822.0,Auto Controls For Regulating Residential & Comml Environments,08 Industrial Applications and Services,1,1,TT,NYSE,0.0,,,,Large accelerated filer,1231.0,L2,Ireland,732-652-7000,,C/O TRANE TECHNOLOGIES,800-E BEATY STREET,DAVIDSON,NC,28036,NC,170/175 LAKEVIEW DRIVE,"AIRSIDE BUSINESS PARK, SWORDS,",CO. DUBLIN,L2,00000,Ireland,{334512}
1321655,Palantir Technologies Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,PLTR,NYSE,680551851.0,,,,Large accelerated filer,1231.0,,,720-358-3679,,1200 17TH STREET,FLOOR 15,DENVER,CO,80202,CO,1200 17TH STREET,FLOOR 15,DENVER,CO,80202,CO,"{511210, 334614}"
49826,ILLINOIS TOOL WORKS INC,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,0,1,ITW,NYSE,361258310.0,,,,Large accelerated filer,1231.0,DE,DE,8477247500,,155 HARLEM AVENUE,,GLENVIEW,IL,60025,IL,155 HARLEM AVENUE,,GLENVIEW,IL,60025,IL,"{314999, 333414, 333999}"
1639920,Spotify Technology S.A.,other,4832.0,Radio Broadcasting Stations,06 Technology,0,0,SPOT,NYSE,0.0,,,,Large accelerated filer,1231.0,N4,Luxembourg,46 (70) 220-4607,,5 PLACE DE LA GARE,,LUXEMBOURG,N4,L-1616,Luxembourg,5 PLACE DE LA GARE,,LUXEMBOURG,N4,L-1616,Luxembourg,"{515112, 515111}"
1413447,NXP Semiconductors N.V.,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,NXPI,Nasdaq,0.0,,,,Large accelerated filer,1231.0,,,31 6 54 265349,,HIGH TECH CAMPUS 60,,EINDHOVEN,P7,5656AG,Netherlands,,,,,,,{334413}
1535527,"CrowdStrike Holdings, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CRWD,Nasdaq,453788918.0,,,,Large accelerated filer,131.0,DE,DE,888-512-8906,,206 E. 9TH STREET,SUITE 1400,AUSTIN,TX,78701,TX,206 E. 9TH STREET,SUITE 1400,AUSTIN,TX,78701,TX,"{511210, 334614}"
1327811,"Workday, Inc.",operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,1,WDAY,Nasdaq,202480422.0,,,,Large accelerated filer,131.0,DE,DE,925-951-9000,,6110 STONERIDGE MALL ROAD,,PLEASANTON,CA,94588,CA,6110 STONERIDGE MALL ROAD,,PLEASANTON,CA,94588,CA,{518210}
1783180,CARRIER GLOBAL Corp,operating,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,06 Technology,0,1,CARR,NYSE,834051582.0,,,,Large accelerated filer,1231.0,DE,DE,5613652000,,13995 PASTEUR BOULEVARD,,PALM BEACH GARDENS,FL,33418,FL,13995 PASTEUR BOULEVARD,,PALM BEACH GARDENS,FL,33418,FL,{333415}
1835632,"Marvell Technology, Inc.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MRVL,Nasdaq,853971597.0,,,,Large accelerated filer,201.0,DE,DE,(302) 295-4840,,1000 N. WEST STREET,SUITE 1200,WILMINGTON,DE,19801,DE,1000 N. WEST STREET,SUITE 1200,WILMINGTON,DE,19801,DE,{334413}
882835,ROPER TECHNOLOGIES INC,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,ROP,Nasdaq,510263969.0,,,,Large accelerated filer,1231.0,DE,DE,9415562601,,6496 UNIVERSITY PARKWAY,,SARASOTA,FL,34240,FL,6496 UNIVERSITY PARKWAY,,SARASOTA,FL,34240,FL,{334513}
1110646,"NetEase, Inc.",other,7372.0,Services-Prepackaged Software,06 Technology,0,0,"NTES,NETTF","Nasdaq,OTC",0.0,,,,Large accelerated filer,,,,86 571 8985 3378,,"NETEASE BUILDING, NO. 599 WANGSHANG RD",BINJIANG DISTRICT,HANGZHOU,F4,310052,China,"NETEASE BUILDING, NO. 599 WANGSHANG RD",BINJIANG DISTRICT,HANGZHOU,F4,310052,China,"{511210, 334614}"
1262039,"Fortinet, Inc.",operating,3577.0,"Computer Peripheral Equipment, NEC",06 Technology,0,1,FTNT,Nasdaq,770560389.0,,,,Large accelerated filer,1231.0,,,408-235-7700,,909 KIFER ROAD,,SUNNYVALE,CA,94086,CA,909 KIFER ROAD,,SUNNYVALE,CA,94086,CA,"{334418, 333316, 334613, 334118}"
769397,"Autodesk, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ADSK,Nasdaq,942819853.0,,,,Large accelerated filer,131.0,DE,DE,4155075000,,"ONE MARKET, STE. 400.",,SAN FRANCISCO,CA,94105,CA,"ONE MARKET, STE. 400.",,SAN FRANCISCO,CA,94105,CA,"{511210, 334614}"
1129137,AMERICA MOVIL SAB DE CV/,other,4813.0,Telephone Communications (No Radiotelephone),06 Technology,0,0,"AMX,AMXOF","NYSE,OTC",0.0,,,,Large accelerated filer,1231.0,O5,Mexico,5255-2581-4449,,LAGO ZURICH 245,COLONIA GRANADA AMPLIACION,MEXICO DF,O5,11529,Mexico,LAGO ZURICH 245,COLONIA GRANADA AMPLIACION,MEXICO DF,O5,11529,Mexico,"{517911, 517311}"
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,CHTR,Nasdaq,841496755.0,,,,Large accelerated filer,1231.0,,,203-905-7801,,400 WASHINGTON BLVD.,,STAMFORD,CT,06902,CT,400 WASHINGTON BLVD.,,STAMFORD,CT,06902,CT,"{515210, 517311}"
1671933,"Trade Desk, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,TTD,Nasdaq,271887399.0,,,,Large accelerated filer,1231.0,DE,DE,(805) 585-3434,,42 N. CHESTNUT STREET,,VENTURA,CA,93001,CA,42 N. CHESTNUT STREET,,VENTURA,CA,93001,CA,"{518210, 541511}"
833444,Johnson Controls International plc,operating,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,06 Technology,1,1,JCI,NYSE,0.0,,,,Large accelerated filer,930.0,L2,Ireland,414-524-1200,,5757 N. GREEN BAY AVENUE,P.O. BOX 591,MILWAUKEE,WI,53201,WI,ONE ALBERT QUAY,ALBERT QUAY,CORK,L2,00000,Ireland,{333415}
1280452,MONOLITHIC POWER SYSTEMS INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MPWR,Nasdaq,770466789.0,,,,Large accelerated filer,1231.0,DE,DE,425-296-9956,,5808 LAKE WASHINGTON BLVD. NE,,KIRKLAND,WA,98033,WA,5808 LAKE WASHINGTON BLVD. NE,,KIRKLAND,WA,98033,WA,{334413}
827054,MICROCHIP TECHNOLOGY INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,MCHP,Nasdaq,860629024.0,,,,Large accelerated filer,331.0,DE,DE,480-792-7200,,2355 WEST CHANDLER BLVD,,CHANDLER,AZ,85224-6199,AZ,2355 W CHANDLER BLVD,,CHANDLER,AZ,85224-6199,AZ,{334413}
1640147,Snowflake Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,SNOW,NYSE,460636374.0,,,,Large accelerated filer,131.0,DE,DE,844-766-9355,,106 EAST BABCOCK STREET,SUITE 3A,BOZEMAN,MT,59715,MT,106 EAST BABCOCK STREET,SUITE 3A,BOZEMAN,MT,59715,MT,"{511210, 334614}"
26172,CUMMINS INC,operating,3510.0,Engines & Turbines,06 Technology,1,1,CMI,NYSE,350257090.0,,,,Large accelerated filer,1231.0,IN,IN,8123773842,,BOX 3005 MAIL CODE 93050,500,COLUMBUS,IN,47202-3005,IN,500 JACKSON ST,BOX 3005 MAIL CODE 93050,COLUMBUS,IN,47202-3005,IN,"{333618, 333611, 336390}"
1512673,"Block, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,"SQ,BSQKZ","NYSE,OTC",800429876.0,,,,Large accelerated filer,1231.0,DE,DE,415-375-3176,,1955 BROADWAY,SUITE 600,OAKLAND,CA,94612,CA,1955 BROADWAY,SUITE 600,OAKLAND,CA,94612,CA,"{511210, 334614}"
1650372,Atlassian Corp,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TEAM,Nasdaq,883940934.0,,,,Large accelerated filer,630.0,,,(415) 701-1110,,350 BUSH STREET,FLOOR 13,SAN FRANCISCO,CA,94104,CA,350 BUSH STREET,FLOOR 13,SAN FRANCISCO,CA,94104,CA,"{511210, 334614}"
712515,ELECTRONIC ARTS INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,EA,Nasdaq,942838567.0,,,,Large accelerated filer,331.0,DE,DE,650-628-1500,,209 REDWOOD SHORES PARKWAY,,REDWOOD CITY,CA,94065,CA,209 REDWOOD SHORES PARKWAY,,REDWOOD CITY,CA,94065,CA,"{511210, 334614}"
1561550,"Datadog, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,DDOG,Nasdaq,272825503.0,,,,Large accelerated filer,1231.0,DE,DE,866-329-4466,,"620 EIGHTH AVENUE, 45TH FLOOR",,NEW YORK,NY,10018,NY,"620 EIGHTH AVENUE, 45TH FLOOR",,NEW YORK,NY,10018,NY,"{511210, 334614}"
1442145,"Verisk Analytics, Inc.",operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,1,VRSK,Nasdaq,262994223.0,,,,Large accelerated filer,1231.0,DE,DE,201-469-2000,,545 WASHINGTON BOULEVARD,,JERSEY CITY,NJ,07310-1686,NJ,545 WASHINGTON BOULEVARD,,JERSEY CITY,NJ,07310-1686,NJ,{518210}
1037868,AMETEK INC/,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,AME,NYSE,141682544.0,,,,Large accelerated filer,1231.0,DE,DE,610-647-2121,,1100 CASSATT ROAD,,BERWYN,PA,19312,PA,1100 CASSATT ROAD,,BERWYN,PA,19312,PA,{334513}
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,operating,7371.0,Services-Computer Programming Services,06 Technology,1,1,CTSH,Nasdaq,133728359.0,,,,Large accelerated filer,1231.0,,,2018010233,,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,TEANECK,NJ,07666,NJ,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,TEANECK,NJ,07666,NJ,{541511}
1635327,Flutter Entertainment plc,operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,0,FLUT,NYSE,0.0,,,,Non-accelerated filer,1231.0,L2,Ireland,646-930-0950,,"290 PARK AVE SOUTH, 14TH FLOOR",,NEW YORK,NY,10010,NY,"290 PARK AVE SOUTH, 14TH FLOOR",,NEW YORK,NY,10010,NY,"{518210, 541511}"
1699150,Ingersoll Rand Inc.,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,0,1,IR,NYSE,462393770.0,,,,Large accelerated filer,1231.0,DE,DE,414-212-4700,,"525 HARBOUR PLACE DRIVE, SUITE 600",,DAVIDSON,NC,28036,NC,"525 HARBOUR PLACE DRIVE, SUITE 600",,DAVIDSON,NC,28036,NC,"{314999, 333414, 333999}"
