cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics,stable 12 to 24,extended tickers
97745,THERMO FISHER SCIENTIFIC INC.,operating,3829.0,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,1,1,TMO,NYSE,42209186.0,,,,Large accelerated filer,1231.0,DE,DE,7816221000,,168 THIRD AVENUE,,WALTHAM,MA,02451,MA,168 THIRD AVENUE,,WALTHAM,MA,02451,MA,"339112,334514,334519",True,TMO
1283699,"T-Mobile US, Inc.",operating,4812.0,Radiotelephone Communications,06 Technology,0,1,TMUS,Nasdaq,200836269.0,,,,Large accelerated filer,1231.0,DE,DE,800-318-9270,,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA,12920 SE 38TH STREET,,BELLEVUE,WA,98006,WA,"517312,517911",False,TMUS
858877,"CISCO SYSTEMS, INC.",operating,3576.0,Computer Communications Equipment,06 Technology,1,1,CSCO,Nasdaq,770059951.0,,,,Large accelerated filer,727.0,DE,DE,4085264000,,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA,170 WEST TASMAN DR,,SAN JOSE,CA,95134-1706,CA,"334112,333316,334118,333318,334111",True,CSCO
313616,DANAHER CORP /DE/,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,DHR,NYSE,591995548.0,,,,Large accelerated filer,1231.0,DE,DE,2028280850,,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,WASHINGTON,DC,20037-1701,DC,334513,True,DHR
896878,INTUIT INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,INTU,Nasdaq,770034661.0,,,,Large accelerated filer,731.0,DE,DE,650-944-6000,,P.O. BOX 7850,,MOUNTAIN VIEW,CA,94039-7850,CA,2700 COAST AVENUE,,MOUNTAIN VIEW,CA,94043,CA,"511210,334614",True,INTU
97476,TEXAS INSTRUMENTS INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,TXN,Nasdaq,750289970.0,,,,Large accelerated filer,1231.0,DE,DE,9729953773,,12500 TI BLVD,PO BOX 660199,DALLAS,TX,75266,TX,P.O. BOX 660199,,DALLAS,TX,75266,TX,334413,True,TXN
51143,INTERNATIONAL BUSINESS MACHINES CORP,operating,3570.0,Computer & office Equipment,06 Technology,1,1,IBM,NYSE,130871985.0,,,,Large accelerated filer,1231.0,NY,NY,9144991900,,1 NEW ORCHARD RD,,ARMONK,NY,10504,NY,1 NEW ORCHARD ROAD,,ARMONK,NY,10504,NY,"334112,334111",True,IBM
6951,APPLIED MATERIALS INC /DE,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,AMAT,Nasdaq,941655526.0,,,,Large accelerated filer,1027.0,DC,DC,4085635300,,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,CA,334413,True,AMAT
1373715,"ServiceNow, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,NOW,NYSE,202056195.0,,,,Large accelerated filer,1231.0,,,408-501-8550,,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA,2225 LAWSON LANE,,SANTA CLARA,CA,95054,CA,"511210,334614",False,NOW
732712,VERIZON COMMUNICATIONS INC,operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,VZ,NYSE,232259884.0,,,,Large accelerated filer,1231.0,DE,DE,212-395-1000,,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,1095 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,"517911,517311",True,VZ
18230,CATERPILLAR INC,operating,3531.0,Construction Machinery & Equip,06 Technology,1,1,CAT,NYSE,370602744.0,,,,Large accelerated filer,1231.0,DE,DE,9728917700,,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX,5205 N. O'CONNOR BOULEVARD,SUITE 100,IRVING,TX,75039,TX,"333120,333923,336510",True,CAT
1166691,COMCAST CORP,operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,"CMCSA,CCZ","Nasdaq,NYSE",270000798.0,,,,Large accelerated filer,1231.0,PA,PA,215-286-1700,,ONE COMCAST CENTER,,PHILADELPHIA,PA,19103-2838,PA,ONE COMCAST CENTER,,PHILADELPHIA,PA,19103-2838,PA,"515210,517311",True,"CMCSA,CCZ"
732717,AT&T INC.,operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,"T,TBB,TBC,T-PA,T-PC","NYSE,NYSE,NYSE,NYSE,NYSE",431301883.0,,,,Large accelerated filer,1231.0,DE,DE,2108214105,,208 S. AKARD ST,,DALLAS,TX,75202,TX,208 S. AKARD ST,,DALLAS,TX,75202,TX,"517911,517311",True,"T-PA,TBB,T,TBC,T-PC"
723125,MICRON TECHNOLOGY INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MU,Nasdaq,751618004.0,,,,Large accelerated filer,829.0,DE,DE,2083684000,,8000 S FEDERAL WAY,PO BOX 6,BOISE,ID,83716-9632,ID,8000 S FEDERAL WAY,PO BOX 6,BOISE,ID,83716-9632,ID,334413,True,MU
1551182,Eaton Corp plc,operating,3590.0,Misc Industrial & Commercial Machinery & Equipment,06 Technology,0,1,ETN,NYSE,981059235.0,,,,Large accelerated filer,1231.0,,,353 1637 2900,,30 PEMBROKE ROAD,EATON HOUSE,DUBLIN,L2,DUBLIN 4,Ireland,30 PEMBROKE ROAD,EATON HOUSE,DUBLIN,L2,DUBLIN 4,Ireland,"332710,336390,333318,332999,332813,333999",False,ETN
707549,LAM RESEARCH CORP,operating,3559.0,"Special Industry Machinery, NEC",06 Technology,0,1,LRCX,Nasdaq,942634797.0,,,,Large accelerated filer,629.0,DE,DE,5106590200,,4650 CUSHING PARKWAY,,FREMONT,CA,94538,CA,4650 CUSHING BLVD,,FREMONT,CA,94538,CA,"333249,333318,332410,333111,333242",False,LRCX
1596532,"Arista Networks, Inc.",operating,3576.0,Computer Communications Equipment,06 Technology,0,1,ANET,NYSE,201751121.0,,,,Large accelerated filer,1231.0,DE,DE,408-547-5500,,5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CA,95054,CA,5453 GREAT AMERICA PARKWAY,,SANTA CLARA,CA,95054,CA,"334112,333316,334118,333318,334111",False,ANET
6281,ANALOG DEVICES INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,ADI,Nasdaq,42348234.0,,,,Large accelerated filer,1102.0,MA,MA,7813294700,,ONE ANALOG WAY,,WILMINGTON,MA,01887,MA,ONE ANALOG WAY,,WILMINGTON,MA,01887,MA,334413,True,ADI
1327567,Palo Alto Networks Inc,operating,3577.0,"Computer Peripheral Equipment, NEC",06 Technology,0,1,PANW,Nasdaq,202530195.0,,,,Large accelerated filer,731.0,DE,DE,408-753-4000,,3000 TANNERY WAY,,SANTA CLARA,CA,95054,CA,3000 TANNERY WAY,,SANTA CLARA,CA,95054,CA,"334418,333316,334613,334118",False,PANW
1613103,Medtronic plc,operating,3845.0,Electromedical & Electrotherapeutic Apparatus,08 Industrial Applications and Services,1,1,MDT,NYSE,0.0,,,,Large accelerated filer,425.0,,,01135314381700,,BUILDING TWO PARKMORE BUSINESS PARK WEST,,GALWAY,L2,1,Ireland,BUILDING TWO PARKMORE BUSINESS PARK WEST,,GALWAY,L2,1,Ireland,"334517,334510",True,MDT
8670,AUTOMATIC DATA PROCESSING INC,operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,1,1,ADP,Nasdaq,221467904.0,,,,Large accelerated filer,630.0,DE,DE,9739745000,,ONE ADP BOULEVARD,,ROSELAND,NJ,07068,NJ,ONE ADP BOULVARD,,ROSELAND,NJ,07068,NJ,518210,True,ADP
315189,DEERE & CO,operating,3523.0,Farm Machinery & Equipment,06 Technology,1,1,DE,NYSE,362382580.0,,,,Large accelerated filer,1027.0,DE,DE,(309) 765-8000,,ONE JOHN DEERE PLACE,,MOLINE,IL,61265-8098,IL,ONE JOHN DEERE PLACE,,MOLINE,IL,61265-8098,IL,"332216,333922,332323,333111",True,DE
50863,INTEL CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,INTC,Nasdaq,941672743.0,,,,Large accelerated filer,1228.0,DE,DE,4087658080,,2200 MISSION COLLEGE BLVD,RNB-4-151,SANTA CLARA,CA,95054,CA,2200 MISSION COLLEGE BLVD,RNB-4-151,SANTA CLARA,CA,95054,CA,334413,False,INTC
883241,SYNOPSYS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,SNPS,Nasdaq,561546236.0,,,,Large accelerated filer,1031.0,DE,DE,6505845000,,675 ALMANOR AVE,,SUNNYVALE,CA,94085,CA,675 ALMANOR AVE,,SUNNYVALE,CA,94085,CA,"511210,334614",False,SNPS
820313,AMPHENOL CORP /DE/,operating,3678.0,Electronic Connectors,04 Manufacturing,0,1,APH,NYSE,222785165.0,,,,Large accelerated filer,1231.0,DE,DE,2032658900,,,,,,,,358 HALL AVE,,WALLINGFORD,CT,06492,CT,"334418,334419,334515,334310,334220",True,APH
1571996,Dell Technologies Inc.,operating,3571.0,Electronic Computers,06 Technology,1,1,DELL,NYSE,800890963.0,,,,Large accelerated filer,131.0,DE,DE,800-289-3355,,ONE DELL WAY,,ROUND ROCK,TX,78682,TX,ONE DELL WAY,,ROUND ROCK,TX,78682,TX,334111,False,DELL
813672,CADENCE DESIGN SYSTEMS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,CDNS,Nasdaq,770148231.0,,,,Large accelerated filer,1231.0,DE,DE,4089431234,,2655 SEELY AVENUE,,SAN JOSE,CA,95134,CA,2655 SEELY AVENUE BLDG 5,,SAN JOSE,CA,95134,CA,"511210,334614",False,CDNS
1466258,Trane Technologies plc,operating,3822.0,Auto Controls For Regulating Residential & Comml Environments,08 Industrial Applications and Services,1,1,TT,NYSE,0.0,,,,Large accelerated filer,1231.0,L2,Ireland,732-652-7000,,C/O TRANE TECHNOLOGIES,800-E BEATY STREET,DAVIDSON,NC,28036,NC,170/175 LAKEVIEW DRIVE,"AIRSIDE BUSINESS PARK, SWORDS,",CO. DUBLIN,L2,00000,Ireland,334512,False,TT
1321655,Palantir Technologies Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,PLTR,NYSE,680551851.0,,,,Large accelerated filer,1231.0,,,720-358-3679,,1200 17TH STREET,FLOOR 15,DENVER,CO,80202,CO,1200 17TH STREET,FLOOR 15,DENVER,CO,80202,CO,"511210,334614",False,PLTR
49826,ILLINOIS TOOL WORKS INC,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,0,1,ITW,NYSE,361258310.0,,,,Large accelerated filer,1231.0,DE,DE,8477247500,,155 HARLEM AVENUE,,GLENVIEW,IL,60025,IL,155 HARLEM AVENUE,,GLENVIEW,IL,60025,IL,"314999,333414,333999",True,ITW
1413447,NXP Semiconductors N.V.,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,NXPI,Nasdaq,0.0,,,,Large accelerated filer,1231.0,,,31 6 54 265349,,HIGH TECH CAMPUS 60,,EINDHOVEN,P7,5656AG,Netherlands,,,,,,,334413,False,NXPI
1535527,"CrowdStrike Holdings, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,CRWD,Nasdaq,453788918.0,,,,Large accelerated filer,131.0,DE,DE,888-512-8906,,206 E. 9TH STREET,SUITE 1400,AUSTIN,TX,78701,TX,206 E. 9TH STREET,SUITE 1400,AUSTIN,TX,78701,TX,"511210,334614",False,CRWD
1783180,CARRIER GLOBAL Corp,operating,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,06 Technology,0,1,CARR,NYSE,834051582.0,,,,Large accelerated filer,1231.0,DE,DE,5613652000,,13995 PASTEUR BOULEVARD,,PALM BEACH GARDENS,FL,33418,FL,13995 PASTEUR BOULEVARD,,PALM BEACH GARDENS,FL,33418,FL,333415,False,CARR
882835,ROPER TECHNOLOGIES INC,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,ROP,Nasdaq,510263969.0,,,,Large accelerated filer,1231.0,DE,DE,9415562601,,6496 UNIVERSITY PARKWAY,,SARASOTA,FL,34240,FL,6496 UNIVERSITY PARKWAY,,SARASOTA,FL,34240,FL,334513,True,ROP
1262039,"Fortinet, Inc.",operating,3577.0,"Computer Peripheral Equipment, NEC",06 Technology,0,1,FTNT,Nasdaq,770560389.0,,,,Large accelerated filer,1231.0,,,408-235-7700,,909 KIFER ROAD,,SUNNYVALE,CA,94086,CA,909 KIFER ROAD,,SUNNYVALE,CA,94086,CA,"334418,333316,334613,334118",False,FTNT
769397,"Autodesk, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,ADSK,Nasdaq,942819853.0,,,,Large accelerated filer,131.0,DE,DE,4155075000,,"ONE MARKET, STE. 400.",,SAN FRANCISCO,CA,94105,CA,"ONE MARKET, STE. 400.",,SAN FRANCISCO,CA,94105,CA,"511210,334614",True,ADSK
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,CHTR,Nasdaq,841496755.0,,,,Large accelerated filer,1231.0,,,203-905-7801,,400 WASHINGTON BLVD.,,STAMFORD,CT,06902,CT,400 WASHINGTON BLVD.,,STAMFORD,CT,06902,CT,"515210,517311",False,CHTR
833444,Johnson Controls International plc,operating,3585.0,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,06 Technology,1,1,JCI,NYSE,0.0,,,,Large accelerated filer,930.0,L2,Ireland,414-524-1200,,5757 N. GREEN BAY AVENUE,P.O. BOX 591,MILWAUKEE,WI,53201,WI,ONE ALBERT QUAY,ALBERT QUAY,CORK,L2,00000,Ireland,333415,True,JCI
1280452,MONOLITHIC POWER SYSTEMS INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,MPWR,Nasdaq,770466789.0,,,,Large accelerated filer,1231.0,DE,DE,425-296-9956,,5808 LAKE WASHINGTON BLVD. NE,,KIRKLAND,WA,98033,WA,5808 LAKE WASHINGTON BLVD. NE,,KIRKLAND,WA,98033,WA,334413,False,MPWR
827054,MICROCHIP TECHNOLOGY INC,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,MCHP,Nasdaq,860629024.0,,,,Large accelerated filer,331.0,DE,DE,480-792-7200,,2355 WEST CHANDLER BLVD,,CHANDLER,AZ,85224-6199,AZ,2355 W CHANDLER BLVD,,CHANDLER,AZ,85224-6199,AZ,334413,True,MCHP
26172,CUMMINS INC,operating,3510.0,Engines & Turbines,06 Technology,1,1,CMI,NYSE,350257090.0,,,,Large accelerated filer,1231.0,IN,IN,8123773842,,BOX 3005 MAIL CODE 93050,500,COLUMBUS,IN,47202-3005,IN,500 JACKSON ST,BOX 3005 MAIL CODE 93050,COLUMBUS,IN,47202-3005,IN,"333618,333611,336390",True,CMI
712515,ELECTRONIC ARTS INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,EA,Nasdaq,942838567.0,,,,Large accelerated filer,331.0,DE,DE,650-628-1500,,209 REDWOOD SHORES PARKWAY,,REDWOOD CITY,CA,94065,CA,209 REDWOOD SHORES PARKWAY,,REDWOOD CITY,CA,94065,CA,"511210,334614",True,EA
1442145,"Verisk Analytics, Inc.",operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,0,1,VRSK,Nasdaq,262994223.0,,,,Large accelerated filer,1231.0,DE,DE,201-469-2000,,545 WASHINGTON BOULEVARD,,JERSEY CITY,NJ,07310-1686,NJ,545 WASHINGTON BOULEVARD,,JERSEY CITY,NJ,07310-1686,NJ,518210,False,VRSK
1037868,AMETEK INC/,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,AME,NYSE,141682544.0,,,,Large accelerated filer,1231.0,DE,DE,610-647-2121,,1100 CASSATT ROAD,,BERWYN,PA,19312,PA,1100 CASSATT ROAD,,BERWYN,PA,19312,PA,334513,False,AME
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,operating,7371.0,Services-Computer Programming Services,06 Technology,1,1,CTSH,Nasdaq,133728359.0,,,,Large accelerated filer,1231.0,,,2018010233,,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,TEANECK,NJ,07666,NJ,"300 FRANK W. BURR BLVD., STE. 36, 6 FL.",,TEANECK,NJ,07666,NJ,541511,True,CTSH
1699150,Ingersoll Rand Inc.,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,0,1,IR,NYSE,462393770.0,,,,Large accelerated filer,1231.0,DE,DE,414-212-4700,,"525 HARBOUR PLACE DRIVE, SUITE 600",,DAVIDSON,NC,28036,NC,"525 HARBOUR PLACE DRIVE, SUITE 600",,DAVIDSON,NC,28036,NC,"314999,333414,333999",False,IR
1375365,"Super Micro Computer, Inc.",operating,3571.0,Electronic Computers,06 Technology,0,1,SMCI,Nasdaq,770353939.0,,,,Large accelerated filer,630.0,CA,CA,408-503-8000,,980 ROCK AVENUE,,SAN JOSE,CA,95131,CA,980 ROCK AVENUE,,SAN JOSE,CA,95131,CA,334111,False,SMCI
47217,HP INC,operating,3570.0,Computer & office Equipment,06 Technology,1,1,HPQ,NYSE,941081436.0,,,,Large accelerated filer,1031.0,DE,DE,6508571501,,1501 PAGE MILL ROAD,,PALO ALTO,CA,94304,CA,1501 PAGE MILL ROAD,,PALO ALTO,CA,94304,CA,"334112,334111",True,HPQ
1701605,Baker Hughes Co,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,1,1,BKR,Nasdaq,814403168.0,,,,Large accelerated filer,1231.0,DE,DE,713-439-8600,,"575 NORTH DAIRY ASHFORD ROAD, SUITE 100",,HOUSTON,TX,77079-1121,TX,"575 NORTH DAIRY ASHFORD ROAD, SUITE 100",,HOUSTON,TX,77079-1121,TX,333132,False,BKR
1097864,ON SEMICONDUCTOR CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,ON,Nasdaq,363840979.0,,,,Large accelerated filer,1231.0,DE,DE,6022446600,,5701 NORTH PIMA ROAD,,SCOTTSDALE,AZ,85250,AZ,5701 NORTH PIMA ROAD,,SCOTTSDALE,AZ,85250,AZ,334413,False,ON
1524472,Xylem Inc.,operating,3561.0,Pumps & Pumping Equipment,06 Technology,0,1,XYL,NYSE,452080495.0,,,,Large accelerated filer,1231.0,IN,IN,202-869-9150,,301 WATER STREET SE,,WASHINGTON,DC,20003,DC,301 WATER STREET SE,,WASHINGTON,DC,20003,DC,333914,True,XYL
1024478,"ROCKWELL AUTOMATION, INC",operating,3829.0,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,0,1,ROK,NYSE,251797617.0,,,,Large accelerated filer,930.0,DE,DE,414-382-2000,,1201 SOUTH 2ND STREET,,MILWAUKEE,WI,53204,WI,1201 SOUTH 2ND STREET,,MILWAUKEE,WI,53204,WI,"339112,334514,334519",True,ROK
1013462,ANSYS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,ANSS,Nasdaq,43219960.0,,,,Large accelerated filer,1231.0,DE,DE,8444626797,,"2600 ANSYS DRIVE, SOUTHPOINTE",,CANONSBURG,PA,15317,PA,"2600 ANSYS DRIVE, SOUTHPOINTE",,CANONSBURG,PA,15317,PA,"511210,334614",False,ANSS
1002047,"NetApp, Inc.",operating,3572.0,Computer Storage Devices,06 Technology,0,1,NTAP,Nasdaq,770307520.0,,,,Large accelerated filer,426.0,CA,CA,4088226000,,3060 OLSEN DRIVE,,SAN JOSE,CA,95128,CA,3060 OLSEN DRIVE,,SAN JOSE,CA,95128,CA,334112,True,NTAP
1967680,Veralto Corp,operating,3825.0,Instruments For Meas & Testing of  Electricity & Elec Signals,08 Industrial Applications and Services,0,1,VLTO,NYSE,921941413.0,,,,Non-accelerated filer,1231.0,X1,X1,7817553655,,225 WYMAN ST.,SUITE 250,WALTHAM,MA,02451,MA,225 WYMAN ST.,SUITE 250,WALTHAM,MA,02451,MA,"334514,334515",False,VLTO
946581,TAKE TWO INTERACTIVE SOFTWARE INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TTWO,Nasdaq,510350842.0,,,,Large accelerated filer,331.0,DE,DE,646 536 2842,,110 WEST 44TH STREET,,NEW YORK,NY,10036,NY,110 WEST 44TH STREET,,NEW YORK,NY,10036,NY,"511210,334614",False,TTWO
860731,TYLER TECHNOLOGIES INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TYL,NYSE,752303920.0,,,,Large accelerated filer,1231.0,DE,DE,9727133700,,5101 TENNYSON PKWY,,PLANO,TX,75024,TX,5101 TENNYSON PKWY,,PLANO,TX,75024,TX,"511210,334614",False,TYL
29905,DOVER Corp,operating,3530.0,"Construction, Mining & Materials Handling Machinery & Equip",06 Technology,1,1,DOV,NYSE,530257888.0,,,,Large accelerated filer,1231.0,DE,DE,(630) 541-1540,,3005 HIGHLAND PARKWAY,SUITE 200,DOWNERS GROVE,IL,60515,IL,3005 HIGHLAND PARKWAY,SUITE 200,DOWNERS GROVE,IL,60515,IL,333131,True,DOV
1645590,Hewlett Packard Enterprise Co,operating,3570.0,Computer & office Equipment,06 Technology,1,1,"HPE,HPE-PC","NYSE,NYSE",473298624.0,,,,Large accelerated filer,1031.0,DE,DE,678-259-9860,,1701 E MOSSY OAKS ROAD,,SPRING,TX,77389,TX,1701 E MOSSY OAKS ROAD,,SPRING,TX,77389,TX,"334112,334111",False,"HPE,HPE-PC"
1659166,Fortive Corp,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,FTV,NYSE,0.0,,,,Large accelerated filer,1231.0,DE,DE,(425) 446-5000,,6920 SEAWAY BLVD.,,EVERETT,WA,98203,WA,6920 SEAWAY BLVD.,,EVERETT,WA,98203,WA,334513,False,FTV
1274494,"FIRST SOLAR, INC.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,FSLR,Nasdaq,204623678.0,,,,Large accelerated filer,1231.0,DE,DE,(602) 414-9300,,350 WEST WASHINGTON STREET,SUITE 600,TEMPE,AZ,85288,AZ,350 WEST WASHINGTON STREET,SUITE 600,TEMPE,AZ,85288,AZ,334413,False,FSLR
1601046,"Keysight Technologies, Inc.",operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,KEYS,NYSE,464254555.0,,,,Large accelerated filer,1031.0,DE,DE,8774244536,,1400 FOUNTAINGROVE PARKWAY,,SANTA ROSA,CA,95403,CA,1400 FOUNTAINGROVE PARKWAY,,SANTA ROSA,CA,95403,CA,334513,False,KEYS
1609711,GoDaddy Inc.,operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,GDDY,NYSE,465769934.0,,,,Large accelerated filer,1231.0,DE,DE,(480) 505-8800,,100 S. MILL AVE,SUITE 1600,TEMPE,AZ,85281,AZ,100 S. MILL AVE,SUITE 1600,TEMPE,AZ,85281,AZ,541512,False,GDDY
